iter	RMSE
0	1.019441504
1	1.017845621
2	1.016293833
3	1.014846794
4	1.013249279
5	1.011845437
6	1.010410343
7	1.008842766
8	1.007221133
9	1.005762914
10	1.004307916
11	1.002693384
12	1.001492907
13	1.000231355
14	0.9989246278
15	0.9977512539
16	0.9962224751
17	0.9950391154
18	0.9938783385
19	0.9924203481
20	0.9915244047
21	0.9904433327
22	0.9893491977
23	0.9881573353
24	0.9870728619
25	0.985979921
26	0.984974899
27	0.9840107623
28	0.9830197422
29	0.9820566963
30	0.9809669873
31	0.9799016714
32	0.9789841372
33	0.977827322
34	0.9770512892
35	0.9760885295
36	0.9752955567
37	0.9743040684
38	0.9733259485
39	0.9723726173
40	0.9718250265
41	0.9708403069
42	0.9698204764
43	0.9688480992
44	0.9681176379
45	0.9671437929
46	0.9666164783
47	0.9655433606
48	0.9645245046
49	0.9638029208
50	0.962827586
51	0.9617707438
52	0.9609758556
53	0.9602542346
54	0.9593396408
55	0.9582692113
56	0.9571792498
57	0.9564521385
58	0.9554573605
59	0.9546916431
60	0.9540706757
61	0.9533942891
62	0.953129599
63	0.9523978183
64	0.9518288737
65	0.9508427793
66	0.950515149
67	0.949560385
68	0.9486260342
69	0.9476466522
70	0.946923274
71	0.9466753021
72	0.9461206878
73	0.9448183519
74	0.9441821599
75	0.9432015693
76	0.9428651786
77	0.942372208
78	0.9418384244
79	0.9413765331
80	0.9407752033
81	0.9399766797
82	0.9394396524
83	0.9387380134
84	0.9380067296
85	0.9371520534
86	0.9364753533
87	0.9356056518
88	0.9349821048
89	0.9347340342
90	0.9343874369
91	0.9341599974
92	0.933391926
93	0.9328852338
94	0.93240708
95	0.9316649527
96	0.9312954026
97	0.9307096388
98	0.9298766092
99	0.9294828242
