iter	Passed	Remaining
0	7	721
1	13	637
2	18	589
3	23	567
4	29	559
5	34	545
6	40	538
7	45	528
8	52	527
9	57	518
10	63	514
11	69	508
12	74	499
13	80	492
14	85	485
15	91	482
16	97	473
17	102	466
18	107	460
19	114	456
20	119	449
21	125	444
22	130	437
23	136	430
24	142	428
25	149	426
26	156	422
27	162	418
28	168	413
29	175	408
30	181	403
31	187	398
32	194	394
33	200	388
34	206	384
35	214	381
36	220	375
37	226	369
38	232	363
39	238	358
40	244	352
41	251	346
42	256	339
43	261	332
44	266	325
45	271	318
46	276	311
47	281	304
48	287	299
49	293	293
50	299	287
51	303	279
52	306	271
53	310	264
54	314	257
55	318	250
56	321	242
57	325	235
58	328	228
59	332	221
60	335	214
61	339	207
62	342	201
63	345	194
64	349	188
65	353	181
66	356	175
67	360	169
68	363	163
69	367	157
70	370	151
71	373	145
72	377	139
73	381	133
74	384	128
75	388	122
76	391	116
77	394	111
78	397	105
79	399	99
80	402	94
81	405	88
82	407	83
83	410	78
84	413	73
85	416	67
86	419	62
87	422	57
88	425	52
89	428	47
90	430	42
91	434	37
92	437	32
93	440	28
94	443	23
95	446	18
96	450	13
97	452	9
98	455	4
99	459	0
